Pattern,Workload Level,Timestamp,ContainerJoulesTotal,ContainerPowerWattsAvg,ContainerCacheMissAvg,ContainerCpuCyclesAvg,ContainerCpuInstructionsAvg,PPW,PPJ,IPC
Baseline,High,2025-07-07 09:50:57,5682.836666666667,18.94278888888889,671270308.7592592,1217902869.9037042,2571003354.2814817,1.3572464801049083E8,1.3572464801049083E8,2.1110085359144963
Baseline,Medium,2025-07-07 10:02:08,4349.123773467712,14.497079244892374,595271312.8276607,1027516831.7682029,2326249292.0644193,1.6046330800626656E8,1.6046330800626653E8,2.263952492205205
Baseline,Low,2025-07-07 10:11:33,4113.446666666666,13.711488888888887,597071174.2370371,1022827036.1962963,2345991074.151852,1.7109674180263E8,1.7109674180263E8,2.293634203174915
Async Request Reply,Low,2025-07-07 10:36:14,3930.896666666667,13.10298888888889,559875198.5518519,878996148.7148148,2210309011.740741,1.6868739113524282E8,1.6868739113524282E8,2.514583272034179
Async Request Reply,Medium,2025-07-07 10:42:51,3436.1066666666666,11.453688888888893,533092512.9814815,854008765.6888889,2124098470.4296296,1.8545103599681285E8,1.8545103599681294E8,2.4872092134981996
Async Request Reply,High,2025-07-07 10:48:36,3250.4466666666663,10.834822222222222,508676767.44814813,814790135.2037038,2041012521.8777778,1.8837526634185663E8,1.8837526634185663E8,2.5049548757331346
Cache Aside,High,2025-07-07 10:56:56,5250.416666666667,17.50138888888889,701267297.0185186,1363189928.2407408,2664467580.8,1.522432075371796E8,1.522432075371796E8,1.954582795545312
Cache Aside,Medium,2025-07-07 11:02:55,5078.286666666667,16.927622222222222,637509739.2148149,1072634151.9444445,2485078765.0185184,1.4680613333609018E8,1.4680613333609015E8,2.3167999643807997
Cache Aside,Low,2025-07-07 11:08:43,4737.09,15.7903,576515874.3666668,938725878.9407408,2265188660.866667,1.4345444107247278E8,1.4345444107247275E8,2.4130459292575464
Circuit Breaker,High,2025-07-07 11:17:41,5461.003333333333,18.203344444444443,624691387.2296296,1002013376.9037038,2431552687.4740744,1.3357724976830675E8,1.3357724976830673E8,2.4266668923999335
Circuit Breaker,Medium,2025-07-07 11:23:19,4746.523333333334,15.821744444444446,574917305.6333333,877383357.7962964,2278011398.640741,1.439797872250824E8,1.439797872250824E8,2.5963695098598287
Circuit Breaker,Low,2025-07-07 11:29:41,4633.263333333333,15.444211111111112,563623614.462963,854367308.6481482,2252491903.977778,1.4584700298205945E8,1.4584700298205945E8,2.636444397131557
Request Collapsing,High,2025-07-07 11:38:34,6430.246666666667,21.434155555555556,670871954.0111111,1184535116.7814815,2573984371.3962965,1.2008797662799181E8,1.2008797662799181E8,2.1729911886361872
Request Collapsing,Medium,2025-07-07 11:44:15,5647.483333333334,18.824944444444444,636728928.7740741,1049064644.6148149,2493493994.5444446,1.324569111958424E8,1.324569111958424E8,2.3768735390562905
Request Collapsing,Low,2025-07-07 11:49:52,5169.863333333334,17.23287777777778,587919159.7111111,945527048.8370371,2324071361.388889,1.348626382289925E8,1.3486263822899252E8,2.4579639093851515
Gateway Offloading,Low,2025-07-07 11:59:05,5328.736666666667,17.762455555555555,601057237.3555555,978359063.2703705,2342278440.374074,1.3186681498220445E8,1.3186681498220447E8,2.394088763837396
Gateway Offloading,Medium,2025-07-07 12:04:43,4741.516666666667,15.805055555555557,558627481.1333333,870018068.4925926,2218917091.577778,1.40392868837327E8,1.40392868837327E8,2.550426447375179
Gateway Offloading,High,2025-07-07 12:11:01,4464.26,14.880866666666666,537326498.0185186,812747786.8703704,2161998312.9185185,1.452871234819557E8,1.4528712348195568E8,2.6601097509519858
