Pattern,Workload,RunID,StepIndex,Timestamp,Energy (Joules)
Baseline,High,20250707_095058,0,1751874357.288,175.333333333333
Baseline,High,20250707_095058,1,1751874367.288,175.333333333333
Baseline,High,20250707_095058,2,1751874377.288,175.333333333333
Baseline,High,20250707_095058,3,1751874387.288,1294.05
Baseline,High,20250707_095058,4,1751874397.288,1294.05
Baseline,High,20250707_095058,5,1751874407.288,1294.05
Baseline,High,20250707_095058,6,1751874417.288,2020.58
Baseline,High,20250707_095058,7,1751874427.288,2020.58
Baseline,High,20250707_095058,8,1751874437.288,2020.58
Baseline,High,20250707_095058,9,1751874447.288,2682.53666666667
Baseline,High,20250707_095058,10,1751874457.288,2682.53666666667
Baseline,High,20250707_095058,11,1751874467.288,2682.53666666667
Baseline,High,20250707_095058,12,1751874477.288,3363.29333333333
Baseline,High,20250707_095058,13,1751874487.288,3363.29333333333
Baseline,High,20250707_095058,14,1751874497.288,3363.29333333333
Baseline,High,20250707_095058,15,1751874507.288,3961.62333333333
Baseline,High,20250707_095058,16,1751874517.288,3961.62333333333
Baseline,High,20250707_095058,17,1751874527.288,3961.62333333333
Baseline,High,20250707_095058,18,1751874537.288,4577.07666666667
Baseline,High,20250707_095058,19,1751874547.288,4577.07666666667
Baseline,High,20250707_095058,20,1751874557.288,4577.07666666667
Baseline,High,20250707_095058,21,1751874567.288,5168.59333333333
Baseline,High,20250707_095058,22,1751874577.288,5168.59333333333
Baseline,High,20250707_095058,23,1751874587.288,5168.59333333333
Baseline,High,20250707_095058,24,1751874597.288,5774.54333333333
Baseline,High,20250707_095058,25,1751874607.288,5774.54333333333
Baseline,High,20250707_095058,26,1751874617.288,5774.54333333333
Baseline,High,20250707_095058,27,1751874627.288,6285.8
Baseline,High,20250707_095058,28,1751874637.288,6285.8
Baseline,High,20250707_095058,29,1751874647.288,6285.8
Baseline,High,20250707_095058,30,1751874657.288,5682.83666666667
Baseline,Medium,20250707_100208,0,1751875027.416,141.193333333334
Baseline,Medium,20250707_100208,1,1751875037.416,141.193333333334
Baseline,Medium,20250707_100208,2,1751875047.416,370.206666666667
Baseline,Medium,20250707_100208,3,1751875057.416,370.206666666667
Baseline,Medium,20250707_100208,4,1751875067.416,370.206666666667
Baseline,Medium,20250707_100208,5,1751875077.416,901.826666666667
Baseline,Medium,20250707_100208,6,1751875087.416,901.826666666667
Baseline,Medium,20250707_100208,7,1751875097.416,901.826666666667
Baseline,Medium,20250707_100208,8,1751875107.416,1357.41333333333
Baseline,Medium,20250707_100208,9,1751875117.416,1357.41333333333
Baseline,Medium,20250707_100208,10,1751875127.416,1357.41333333333
Baseline,Medium,20250707_100208,11,1751875137.416,1807.10333333333
Baseline,Medium,20250707_100208,12,1751875147.416,1807.10333333333
Baseline,Medium,20250707_100208,13,1751875157.416,1807.10333333333
Baseline,Medium,20250707_100208,14,1751875167.416,2322.95
Baseline,Medium,20250707_100208,15,1751875177.416,2322.95
Baseline,Medium,20250707_100208,16,1751875187.416,2322.95
Baseline,Medium,20250707_100208,17,1751875197.416,2799.57
Baseline,Medium,20250707_100208,18,1751875207.416,2799.57
Baseline,Medium,20250707_100208,19,1751875217.416,2799.57
Baseline,Medium,20250707_100208,20,1751875227.416,3306.11
Baseline,Medium,20250707_100208,21,1751875237.416,3306.11
Baseline,Medium,20250707_100208,22,1751875247.416,3306.11
Baseline,Medium,20250707_100208,23,1751875257.416,3749.88333333333
Baseline,Medium,20250707_100208,24,1751875267.416,3749.88333333333
Baseline,Medium,20250707_100208,25,1751875277.416,3749.88333333333
Baseline,Medium,20250707_100208,26,1751875287.416,4180.81666666667
Baseline,Medium,20250707_100208,27,1751875297.416,4180.81666666667
Baseline,Medium,20250707_100208,28,1751875307.416,4180.81666666667
Baseline,Medium,20250707_100208,29,1751875317.416,4349.12377346771
Baseline,Medium,20250707_100208,30,1751875327.416,4349.12377346771
Baseline,Low,20250707_101133,0,1751875592.742,264.567646546839
Baseline,Low,20250707_101133,1,1751875602.742,264.567646546839
Baseline,Low,20250707_101133,2,1751875612.742,264.567646546839
Baseline,Low,20250707_101133,3,1751875622.742,365.156666666667
Baseline,Low,20250707_101133,4,1751875632.742,365.156666666667
Baseline,Low,20250707_101133,5,1751875642.742,365.156666666667
Baseline,Low,20250707_101133,6,1751875652.742,837.826896937418
Baseline,Low,20250707_101133,7,1751875662.742,837.826896937418
Baseline,Low,20250707_101133,8,1751875672.742,837.826896937418
Baseline,Low,20250707_101133,9,1751875682.742,1281.93525209166
Baseline,Low,20250707_101133,10,1751875692.742,1281.93525209166
Baseline,Low,20250707_101133,11,1751875702.742,1281.93525209166
Baseline,Low,20250707_101133,12,1751875712.742,1726.40333333333
Baseline,Low,20250707_101133,13,1751875722.742,1726.40333333333
Baseline,Low,20250707_101133,14,1751875732.742,1726.40333333333
Baseline,Low,20250707_101133,15,1751875742.742,2127.67333333333
Baseline,Low,20250707_101133,16,1751875752.742,2127.67333333333
Baseline,Low,20250707_101133,17,1751875762.742,2127.67333333333
Baseline,Low,20250707_101133,18,1751875772.742,2575.92666666667
Baseline,Low,20250707_101133,19,1751875782.742,2575.92666666667
Baseline,Low,20250707_101133,20,1751875792.742,2575.92666666667
Baseline,Low,20250707_101133,21,1751875802.742,3023.69666666667
Baseline,Low,20250707_101133,22,1751875812.742,3023.69666666667
Baseline,Low,20250707_101133,23,1751875822.742,3023.69666666667
Baseline,Low,20250707_101133,24,1751875832.742,3461.76
Baseline,Low,20250707_101133,25,1751875842.742,3461.76
Baseline,Low,20250707_101133,26,1751875852.742,3461.76
Baseline,Low,20250707_101133,27,1751875862.742,3958.65867163455
Baseline,Low,20250707_101133,28,1751875872.742,3958.65867163455
Baseline,Low,20250707_101133,29,1751875882.742,3958.65867163455
Baseline,Low,20250707_101133,30,1751875892.742,4113.44666666667
Async Request Reply,Low,20250707_103614,0,1751877073.795,116.886666666667
Async Request Reply,Low,20250707_103614,1,1751877083.795,116.886666666667
Async Request Reply,Low,20250707_103614,2,1751877093.795,116.886666666667
Async Request Reply,Low,20250707_103614,3,1751877103.795,116.873333333333
Async Request Reply,Low,20250707_103614,4,1751877113.795,116.873333333333
Async Request Reply,Low,20250707_103614,5,1751877123.795,116.873333333333
Async Request Reply,Low,20250707_103614,6,1751877133.795,115.823333333333
Async Request Reply,Low,20250707_103614,7,1751877143.795,115.823333333333
Async Request Reply,Low,20250707_103614,8,1751877153.795,115.823333333333
Async Request Reply,Low,20250707_103614,9,1751877163.795,115.686666666667
Async Request Reply,Low,20250707_103614,10,1751877173.795,115.686666666667
Async Request Reply,Low,20250707_103614,11,1751877183.795,115.686666666667
Async Request Reply,Low,20250707_103614,12,1751877193.795,115.053333333333
Async Request Reply,Low,20250707_103614,13,1751877203.795,115.053333333333
Async Request Reply,Low,20250707_103614,14,1751877213.795,115.053333333333
Async Request Reply,Low,20250707_103614,15,1751877223.795,113.986666666667
Async Request Reply,Low,20250707_103614,16,1751877233.795,113.986666666667
Async Request Reply,Low,20250707_103614,17,1751877243.795,113.986666666667
Async Request Reply,Low,20250707_103614,18,1751877253.795,111.763333333333
Async Request Reply,Low,20250707_103614,19,1751877263.795,111.763333333333
Async Request Reply,Low,20250707_103614,20,1751877273.795,111.763333333333
Async Request Reply,Low,20250707_103614,21,1751877283.795,109.923333333333
Async Request Reply,Low,20250707_103614,22,1751877293.795,109.923333333333
Async Request Reply,Low,20250707_103614,23,1751877303.795,109.923333333333
Async Request Reply,Low,20250707_103614,24,1751877313.795,108.056666666667
Async Request Reply,Low,20250707_103614,25,1751877323.795,108.056666666667
Async Request Reply,Low,20250707_103614,26,1751877333.795,108.056666666667
Async Request Reply,Low,20250707_103614,27,1751877343.795,107.483333333333
Async Request Reply,Low,20250707_103614,28,1751877353.795,107.483333333333
Async Request Reply,Low,20250707_103614,29,1751877363.795,107.483333333333
Async Request Reply,Low,20250707_103614,30,1751877373.795,107.373333333333
Async Request Reply,Low,20250707_103614,0,1751877073.795,1926.9
Async Request Reply,Low,20250707_103614,1,1751877083.795,1926.9
Async Request Reply,Low,20250707_103614,2,1751877093.795,1926.9
Async Request Reply,Low,20250707_103614,3,1751877103.795,1801.27666666667
Async Request Reply,Low,20250707_103614,4,1751877113.795,1801.27666666667
Async Request Reply,Low,20250707_103614,5,1751877123.795,1801.27666666667
Async Request Reply,Low,20250707_103614,6,1751877133.795,1802.73
Async Request Reply,Low,20250707_103614,7,1751877143.795,1802.73
Async Request Reply,Low,20250707_103614,8,1751877153.795,1802.73
Async Request Reply,Low,20250707_103614,9,1751877163.795,1852.82666666667
Async Request Reply,Low,20250707_103614,10,1751877173.795,1852.82666666667
Async Request Reply,Low,20250707_103614,11,1751877183.795,1852.82666666667
Async Request Reply,Low,20250707_103614,12,1751877193.795,1898.5
Async Request Reply,Low,20250707_103614,13,1751877203.795,1898.5
Async Request Reply,Low,20250707_103614,14,1751877213.795,1898.5
Async Request Reply,Low,20250707_103614,15,1751877223.795,2140.24
Async Request Reply,Low,20250707_103614,16,1751877233.795,2140.24
Async Request Reply,Low,20250707_103614,17,1751877243.795,2140.24
Async Request Reply,Low,20250707_103614,18,1751877253.795,2572.35333333333
Async Request Reply,Low,20250707_103614,19,1751877263.795,2572.35333333333
Async Request Reply,Low,20250707_103614,20,1751877273.795,2572.35333333333
Async Request Reply,Low,20250707_103614,21,1751877283.795,2971.65
Async Request Reply,Low,20250707_103614,22,1751877293.795,2971.65
Async Request Reply,Low,20250707_103614,23,1751877303.795,2971.65
Async Request Reply,Low,20250707_103614,24,1751877313.795,3368.46333333333
Async Request Reply,Low,20250707_103614,25,1751877323.795,3368.46333333333
Async Request Reply,Low,20250707_103614,26,1751877333.795,3368.46333333333
Async Request Reply,Low,20250707_103614,27,1751877343.795,3812.06
Async Request Reply,Low,20250707_103614,28,1751877353.795,3812.06
Async Request Reply,Low,20250707_103614,29,1751877363.795,3812.06
Async Request Reply,Low,20250707_103614,30,1751877373.795,3930.89666666667
Async Request Reply,Medium,20250707_104252,0,1751877470.848,113.456666666667
Async Request Reply,Medium,20250707_104252,1,1751877480.848,113.456666666667
Async Request Reply,Medium,20250707_104252,2,1751877490.848,113.35
Async Request Reply,Medium,20250707_104252,3,1751877500.848,113.35
Async Request Reply,Medium,20250707_104252,4,1751877510.848,113.35
Async Request Reply,Medium,20250707_104252,5,1751877520.848,113.343333333333
Async Request Reply,Medium,20250707_104252,6,1751877530.848,113.343333333333
Async Request Reply,Medium,20250707_104252,7,1751877540.848,113.343333333333
Async Request Reply,Medium,20250707_104252,8,1751877550.848,114.253333333333
Async Request Reply,Medium,20250707_104252,9,1751877560.848,114.253333333333
Async Request Reply,Medium,20250707_104252,10,1751877570.848,114.253333333333
Async Request Reply,Medium,20250707_104252,11,1751877580.848,114.136666666667
Async Request Reply,Medium,20250707_104252,12,1751877590.848,114.136666666667
Async Request Reply,Medium,20250707_104252,13,1751877600.848,114.136666666667
Async Request Reply,Medium,20250707_104252,14,1751877610.848,116.516666666667
Async Request Reply,Medium,20250707_104252,15,1751877620.848,116.516666666667
Async Request Reply,Medium,20250707_104252,16,1751877630.848,116.516666666667
Async Request Reply,Medium,20250707_104252,17,1751877640.848,117.05
Async Request Reply,Medium,20250707_104252,18,1751877650.848,117.05
Async Request Reply,Medium,20250707_104252,19,1751877660.848,117.05
Async Request Reply,Medium,20250707_104252,20,1751877670.848,115.19
Async Request Reply,Medium,20250707_104252,21,1751877680.848,115.19
Async Request Reply,Medium,20250707_104252,22,1751877690.848,115.19
Async Request Reply,Medium,20250707_104252,23,1751877700.848,113.393333333333
Async Request Reply,Medium,20250707_104252,24,1751877710.848,113.393333333333
Async Request Reply,Medium,20250707_104252,25,1751877720.848,113.393333333333
Async Request Reply,Medium,20250707_104252,26,1751877730.848,113.936666666667
Async Request Reply,Medium,20250707_104252,27,1751877740.848,113.936666666667
Async Request Reply,Medium,20250707_104252,28,1751877750.848,113.936666666667
Async Request Reply,Medium,20250707_104252,29,1751877760.848,113.31
Async Request Reply,Medium,20250707_104252,30,1751877770.848,113.31
Async Request Reply,Medium,20250707_104252,0,1751877470.848,2624.17
Async Request Reply,Medium,20250707_104252,1,1751877480.848,2624.17
Async Request Reply,Medium,20250707_104252,2,1751877490.848,2390.98666666667
Async Request Reply,Medium,20250707_104252,3,1751877500.848,2390.98666666667
Async Request Reply,Medium,20250707_104252,4,1751877510.848,2390.98666666667
Async Request Reply,Medium,20250707_104252,5,1751877520.848,2347.63666666667
Async Request Reply,Medium,20250707_104252,6,1751877530.848,2347.63666666667
Async Request Reply,Medium,20250707_104252,7,1751877540.848,2347.63666666667
Async Request Reply,Medium,20250707_104252,8,1751877550.848,2307.16666666667
Async Request Reply,Medium,20250707_104252,9,1751877560.848,2307.16666666667
Async Request Reply,Medium,20250707_104252,10,1751877570.848,2307.16666666667
Async Request Reply,Medium,20250707_104252,11,1751877580.848,2294.01333333333
Async Request Reply,Medium,20250707_104252,12,1751877590.848,2294.01333333333
Async Request Reply,Medium,20250707_104252,13,1751877600.848,2294.01333333333
Async Request Reply,Medium,20250707_104252,14,1751877610.848,2194.74
Async Request Reply,Medium,20250707_104252,15,1751877620.848,2194.74
Async Request Reply,Medium,20250707_104252,16,1751877630.848,2194.74
Async Request Reply,Medium,20250707_104252,17,1751877640.848,2158.62666666667
Async Request Reply,Medium,20250707_104252,18,1751877650.848,2158.62666666667
Async Request Reply,Medium,20250707_104252,19,1751877660.848,2158.62666666667
Async Request Reply,Medium,20250707_104252,20,1751877670.848,2533.40333333333
Async Request Reply,Medium,20250707_104252,21,1751877680.848,2533.40333333333
Async Request Reply,Medium,20250707_104252,22,1751877690.848,2533.40333333333
Async Request Reply,Medium,20250707_104252,23,1751877700.848,2902.99333333333
Async Request Reply,Medium,20250707_104252,24,1751877710.848,2902.99333333333
Async Request Reply,Medium,20250707_104252,25,1751877720.848,2902.99333333333
Async Request Reply,Medium,20250707_104252,26,1751877730.848,3285.83333333333
Async Request Reply,Medium,20250707_104252,27,1751877740.848,3285.83333333333
Async Request Reply,Medium,20250707_104252,28,1751877750.848,3285.83333333333
Async Request Reply,Medium,20250707_104252,29,1751877760.848,3436.10666666667
Async Request Reply,Medium,20250707_104252,30,1751877770.848,3436.10666666667
Async Request Reply,High,20250707_104836,0,1751877815.574,113.816666666667
Async Request Reply,High,20250707_104836,1,1751877825.574,111.753333333333
Async Request Reply,High,20250707_104836,2,1751877835.574,111.753333333333
Async Request Reply,High,20250707_104836,3,1751877845.574,111.753333333333
Async Request Reply,High,20250707_104836,4,1751877855.574,111.95
Async Request Reply,High,20250707_104836,5,1751877865.574,111.95
Async Request Reply,High,20250707_104836,6,1751877875.574,111.95
Async Request Reply,High,20250707_104836,7,1751877885.574,111.76
Async Request Reply,High,20250707_104836,8,1751877895.574,111.76
Async Request Reply,High,20250707_104836,9,1751877905.574,111.76
Async Request Reply,High,20250707_104836,10,1751877915.574,111.563333333333
Async Request Reply,High,20250707_104836,11,1751877925.574,111.563333333333
Async Request Reply,High,20250707_104836,12,1751877935.574,111.563333333333
Async Request Reply,High,20250707_104836,13,1751877945.574,112.603333333333
Async Request Reply,High,20250707_104836,14,1751877955.574,112.603333333333
Async Request Reply,High,20250707_104836,15,1751877965.574,112.603333333333
Async Request Reply,High,20250707_104836,16,1751877975.574,111.87
Async Request Reply,High,20250707_104836,17,1751877985.574,111.87
Async Request Reply,High,20250707_104836,18,1751877995.574,111.87
Async Request Reply,High,20250707_104836,19,1751878005.574,110.756666666667
Async Request Reply,High,20250707_104836,20,1751878015.574,110.756666666667
Async Request Reply,High,20250707_104836,21,1751878025.574,110.756666666667
Async Request Reply,High,20250707_104836,22,1751878035.574,113.473333333333
Async Request Reply,High,20250707_104836,23,1751878045.574,113.473333333333
Async Request Reply,High,20250707_104836,24,1751878055.574,113.473333333333
Async Request Reply,High,20250707_104836,25,1751878065.574,116.39
Async Request Reply,High,20250707_104836,26,1751878075.574,116.39
Async Request Reply,High,20250707_104836,27,1751878085.574,116.39
Async Request Reply,High,20250707_104836,28,1751878095.574,120.896666666667
Async Request Reply,High,20250707_104836,29,1751878105.574,120.896666666667
Async Request Reply,High,20250707_104836,30,1751878115.574,120.896666666667
Async Request Reply,High,20250707_104836,0,1751877815.574,3104.93
Async Request Reply,High,20250707_104836,1,1751877825.574,2787.82333333333
Async Request Reply,High,20250707_104836,2,1751877835.574,2787.82333333333
Async Request Reply,High,20250707_104836,3,1751877845.574,2787.82333333333
Async Request Reply,High,20250707_104836,4,1751877855.574,2701.73
Async Request Reply,High,20250707_104836,5,1751877865.574,2701.73
Async Request Reply,High,20250707_104836,6,1751877875.574,2701.73
Async Request Reply,High,20250707_104836,7,1751877885.574,2730.27333333333
Async Request Reply,High,20250707_104836,8,1751877895.574,2730.27333333333
Async Request Reply,High,20250707_104836,9,1751877905.574,2730.27333333333
Async Request Reply,High,20250707_104836,10,1751877915.574,2710.94333333333
Async Request Reply,High,20250707_104836,11,1751877925.574,2710.94333333333
Async Request Reply,High,20250707_104836,12,1751877935.574,2710.94333333333
Async Request Reply,High,20250707_104836,13,1751877945.574,2703.94
Async Request Reply,High,20250707_104836,14,1751877955.574,2703.94
Async Request Reply,High,20250707_104836,15,1751877965.574,2703.94
Async Request Reply,High,20250707_104836,16,1751877975.574,2699.04333333333
Async Request Reply,High,20250707_104836,17,1751877985.574,2699.04333333333
Async Request Reply,High,20250707_104836,18,1751877995.574,2699.04333333333
Async Request Reply,High,20250707_104836,19,1751878005.574,2700.55333333333
Async Request Reply,High,20250707_104836,20,1751878015.574,2700.55333333333
Async Request Reply,High,20250707_104836,21,1751878025.574,2700.55333333333
Async Request Reply,High,20250707_104836,22,1751878035.574,2683.13666666667
Async Request Reply,High,20250707_104836,23,1751878045.574,2683.13666666667
Async Request Reply,High,20250707_104836,24,1751878055.574,2683.13666666667
Async Request Reply,High,20250707_104836,25,1751878065.574,2931.36333333333
Async Request Reply,High,20250707_104836,26,1751878075.574,2931.36333333333
Async Request Reply,High,20250707_104836,27,1751878085.574,2931.36333333333
Async Request Reply,High,20250707_104836,28,1751878095.574,3250.44666666667
Async Request Reply,High,20250707_104836,29,1751878105.574,3250.44666666667
Async Request Reply,High,20250707_104836,30,1751878115.574,3250.44666666667
Cache Aside,High,20250707_105657,0,1751878316.25,186.138054
Cache Aside,High,20250707_105657,1,1751878326.25,198.945554
Cache Aside,High,20250707_105657,2,1751878336.25,275.4013688
Cache Aside,High,20250707_105657,3,1751878346.25,300.5153688
Cache Aside,High,20250707_105657,4,1751878356.25,325.6293688
Cache Aside,High,20250707_105657,5,1751878366.25,337.0918646
Cache Aside,High,20250707_105657,6,1751878376.25,360.7861146
Cache Aside,High,20250707_105657,7,1751878386.25,384.4803646
Cache Aside,High,20250707_105657,8,1751878396.25,411.3475248
Cache Aside,High,20250707_105657,9,1751878406.25,435.2665248
Cache Aside,High,20250707_105657,10,1751878416.25,459.1855248
Cache Aside,High,20250707_105657,11,1751878426.25,480.924914533333
Cache Aside,High,20250707_105657,12,1751878436.25,504.7275812
Cache Aside,High,20250707_105657,13,1751878446.25,528.530247866667
Cache Aside,High,20250707_105657,14,1751878456.25,556.727984251429
Cache Aside,High,20250707_105657,15,1751878466.25,580.764098537143
Cache Aside,High,20250707_105657,16,1751878476.25,604.800212822857
Cache Aside,High,20250707_105657,17,1751878486.25,629.2953786
Cache Aside,High,20250707_105657,18,1751878496.25,653.3471286
Cache Aside,High,20250707_105657,19,1751878506.25,677.3988786
Cache Aside,High,20250707_105657,20,1751878516.25,696.5595048
Cache Aside,High,20250707_105657,21,1751878526.25,720.414219085714
Cache Aside,High,20250707_105657,22,1751878536.25,737.171458971429
Cache Aside,High,20250707_105657,23,1751878546.25,667.913172266667
Cache Aside,High,20250707_105657,24,1751878556.25,679.181172266667
Cache Aside,High,20250707_105657,25,1751878566.25,690.449172266667
Cache Aside,High,20250707_105657,26,1751878576.25,708.7
Cache Aside,High,20250707_105657,27,1751878586.25,708.7
Cache Aside,High,20250707_105657,28,1751878596.25,708.7
Cache Aside,High,20250707_105657,29,1751878606.25,699.593333333333
Cache Aside,High,20250707_105657,30,1751878616.25,699.593333333333
Cache Aside,High,20250707_105657,0,1751878316.25,1327.194624
Cache Aside,High,20250707_105657,1,1751878326.25,1472.414624
Cache Aside,High,20250707_105657,2,1751878336.25,1790.6152608
Cache Aside,High,20250707_105657,3,1751878346.25,1951.3642608
Cache Aside,High,20250707_105657,4,1751878356.25,2112.1132608
Cache Aside,High,20250707_105657,5,1751878366.25,2632.4786736
Cache Aside,High,20250707_105657,6,1751878376.25,2818.6616736
Cache Aside,High,20250707_105657,7,1751878386.25,3004.8446736
Cache Aside,High,20250707_105657,8,1751878396.25,3171.694656
Cache Aside,High,20250707_105657,9,1751878406.25,3356.749656
Cache Aside,High,20250707_105657,10,1751878416.25,3541.804656
Cache Aside,High,20250707_105657,11,1751878426.25,3703.90432453333
Cache Aside,High,20250707_105657,12,1751878436.25,3887.8194912
Cache Aside,High,20250707_105657,13,1751878446.25,4071.73465786667
Cache Aside,High,20250707_105657,14,1751878456.25,4193.203184
Cache Aside,High,20250707_105657,15,1751878466.25,4374.41961257143
Cache Aside,High,20250707_105657,16,1751878476.25,4555.63604114286
Cache Aside,High,20250707_105657,17,1751878486.25,4711.166038
Cache Aside,High,20250707_105657,18,1751878496.25,4891.399788
Cache Aside,High,20250707_105657,19,1751878506.25,5071.633538
Cache Aside,High,20250707_105657,20,1751878516.25,5325.13333333333
Cache Aside,High,20250707_105657,21,1751878526.25,5325.13333333333
Cache Aside,High,20250707_105657,22,1751878536.25,5325.13333333333
Cache Aside,High,20250707_105657,23,1751878546.25,4997.89333333333
Cache Aside,High,20250707_105657,24,1751878556.25,4997.89333333333
Cache Aside,High,20250707_105657,25,1751878566.25,4997.89333333333
Cache Aside,High,20250707_105657,26,1751878576.25,5401.00333333333
Cache Aside,High,20250707_105657,27,1751878586.25,5401.00333333333
Cache Aside,High,20250707_105657,28,1751878596.25,5401.00333333333
Cache Aside,High,20250707_105657,29,1751878606.25,5250.41666666667
Cache Aside,High,20250707_105657,30,1751878616.25,5250.41666666667
Cache Aside,Medium,20250707_110255,0,1751878674.789,704.186666666667
Cache Aside,Medium,20250707_110255,1,1751878684.789,704.186666666667
Cache Aside,Medium,20250707_110255,2,1751878694.789,707.256666666667
Cache Aside,Medium,20250707_110255,3,1751878704.789,707.256666666667
Cache Aside,Medium,20250707_110255,4,1751878714.789,707.256666666667
Cache Aside,Medium,20250707_110255,5,1751878724.789,700.82
Cache Aside,Medium,20250707_110255,6,1751878734.789,700.82
Cache Aside,Medium,20250707_110255,7,1751878744.789,700.82
Cache Aside,Medium,20250707_110255,8,1751878754.789,692.35
Cache Aside,Medium,20250707_110255,9,1751878764.789,692.35
Cache Aside,Medium,20250707_110255,10,1751878774.789,692.35
Cache Aside,Medium,20250707_110255,11,1751878784.789,714.773333333333
Cache Aside,Medium,20250707_110255,12,1751878794.789,714.773333333333
Cache Aside,Medium,20250707_110255,13,1751878804.789,714.773333333333
Cache Aside,Medium,20250707_110255,14,1751878814.789,754.236666666667
Cache Aside,Medium,20250707_110255,15,1751878824.789,754.236666666667
Cache Aside,Medium,20250707_110255,16,1751878834.789,754.236666666667
Cache Aside,Medium,20250707_110255,17,1751878844.789,788.936666666667
Cache Aside,Medium,20250707_110255,18,1751878854.789,788.936666666667
Cache Aside,Medium,20250707_110255,19,1751878864.789,788.936666666667
Cache Aside,Medium,20250707_110255,20,1751878874.789,830.51
Cache Aside,Medium,20250707_110255,21,1751878884.789,830.51
Cache Aside,Medium,20250707_110255,22,1751878894.789,830.51
Cache Aside,Medium,20250707_110255,23,1751878904.789,869.826666666667
Cache Aside,Medium,20250707_110255,24,1751878914.789,869.826666666667
Cache Aside,Medium,20250707_110255,25,1751878924.789,869.826666666667
Cache Aside,Medium,20250707_110255,26,1751878934.789,899.616666666667
Cache Aside,Medium,20250707_110255,27,1751878944.789,899.616666666667
Cache Aside,Medium,20250707_110255,28,1751878954.789,899.616666666667
Cache Aside,Medium,20250707_110255,29,1751878964.789,935.026666666667
Cache Aside,Medium,20250707_110255,30,1751878974.789,935.026666666667
Cache Aside,Medium,20250707_110255,0,1751878674.789,4024.01666666667
Cache Aside,Medium,20250707_110255,1,1751878684.789,4024.01666666667
Cache Aside,Medium,20250707_110255,2,1751878694.789,3589.17666666667
Cache Aside,Medium,20250707_110255,3,1751878704.789,3589.17666666667
Cache Aside,Medium,20250707_110255,4,1751878714.789,3589.17666666667
Cache Aside,Medium,20250707_110255,5,1751878724.789,3532.01
Cache Aside,Medium,20250707_110255,6,1751878734.789,3532.01
Cache Aside,Medium,20250707_110255,7,1751878744.789,3532.01
Cache Aside,Medium,20250707_110255,8,1751878754.789,3525.56666666667
Cache Aside,Medium,20250707_110255,9,1751878764.789,3525.56666666667
Cache Aside,Medium,20250707_110255,10,1751878774.789,3525.56666666667
Cache Aside,Medium,20250707_110255,11,1751878784.789,3601.24666666667
Cache Aside,Medium,20250707_110255,12,1751878794.789,3601.24666666667
Cache Aside,Medium,20250707_110255,13,1751878804.789,3601.24666666667
Cache Aside,Medium,20250707_110255,14,1751878814.789,3602.94333333333
Cache Aside,Medium,20250707_110255,15,1751878824.789,3602.94333333333
Cache Aside,Medium,20250707_110255,16,1751878834.789,3602.94333333333
Cache Aside,Medium,20250707_110255,17,1751878844.789,3721.53333333333
Cache Aside,Medium,20250707_110255,18,1751878854.789,3721.53333333333
Cache Aside,Medium,20250707_110255,19,1751878864.789,3721.53333333333
Cache Aside,Medium,20250707_110255,20,1751878874.789,3805.23
Cache Aside,Medium,20250707_110255,21,1751878884.789,3805.23
Cache Aside,Medium,20250707_110255,22,1751878894.789,3805.23
Cache Aside,Medium,20250707_110255,23,1751878904.789,4162.95666666667
Cache Aside,Medium,20250707_110255,24,1751878914.789,4162.95666666667
Cache Aside,Medium,20250707_110255,25,1751878924.789,4162.95666666667
Cache Aside,Medium,20250707_110255,26,1751878934.789,4725.13666666667
